STT,product_name,price,username,rating,comment,url
1,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Hằng N.Chứng nhận đã mua hàng,5.0,"Giao hàng nhanh chóng và người bán đáng tin cậy., Đầu giày hình tròn mang lại sự thoải mái tối đa.,",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
2,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,T***.Chứng nhận đã mua hàng,5.0,"quá tuyệt vời nha shop ơi.noi chung là hàng bao đẹp lun nên mua nha nguoi
hình ảnh mang tính chất lấy xu nên mọi người thông cảm nhé",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
3,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Trần N.Chứng nhận đã mua hàng,5.0,"Giao hàng nhanh chóng và người bán đáng tin cậy., Giày đa năng, phù hợp với nhiều dịp khác nhau., hơi lỗi phía lót trong",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
4,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,****2Chứng nhận đã mua hàng,5.0,"Chất liệu:da
 Kích cỡ:38
 Màu sắc:trắng
 Kiểu dáng:hơi móp
 Sự thoải mái:ok 
Kích cỡ chân (cm)：38",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
5,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Hằng N.Chứng nhận đã mua hàng,5.0,"Giày đa năng, phù hợp với nhiều dịp khác nhau., Thiết kế chắc chắn, bền bỉ theo thời gian., Giao hàng nhanh chóng và người bán đáng tin cậy.,",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
6,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Lê M.Chứng nhận đã mua hàng,5.0,không có trộn đều với ạ em cảm ơn c nhiều người dân vũ khí hóa học của e khô rong người yêu thích nhất là đc rồi trốn cho kỹ thuật số đt của mình đâu có đâu toàn bộ các bác sĩ cho  ,https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
7,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,pham H.Chứng nhận đã mua hàng,5.0,"Giày giống ảnh nhé, đẹp và rẻ nhưng có bên không thì không biết. Đôi này đi chơi chơi thì đc chứ đi nhiều là đau chân ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
8,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Thanh H.Chứng nhận đã mua hàng,5.0,"đẹp lắm nha, giống hình, cute hết nấc, giao hàng cũng nhanh, giá lại rẻ nữa, nên mua lùi 1 size ạ ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
9,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Linh P.Chứng nhận đã mua hàng,5.0,"Kích cỡ:  size 38
 Sự thoải mái: đi vừa chân nhg hơi đau phí sau mắt cá chân
đẹp nên mua nha ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
10,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,b***2Chứng nhận đã mua hàng,5.0,"Giày xinh đúng ảnh với giá săn sale 37k thì xứng đáng với giá tiền. Anh shipper siu đáng iu
 ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
11,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,0***2Chứng nhận đã mua hàng,5.0,mẫu mã đẹp. giống như quảng cáo. êm chân. giá cả phải chăng. mọi người nên mua nhé! ,https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
12,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,MinchuChứng nhận đã mua hàng,5.0,Shop giao hàng nhanh chóng. Đóng gói sp kĩ càng. Shipper giao hàng thân thiện ,https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
13,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,T***.Chứng nhận đã mua hàng,5.0,chất lượng. tốt 👍 gồ cảm ơn shop okeoke rẻ đẹp ngon bổ rẻ. 😆😆😆😆😆 ,https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
14,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,cư T.Chứng nhận đã mua hàng,5.0,"đặt hàng sai 38 mà shop tải đi số 9 dám số 8  🥲
đi không vừa  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
15,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Đào H.Chứng nhận đã mua hàng,5.0,đi êm chân rất hài lòng  ,https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
16,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,H***.Chứng nhận đã mua hàng,5.0,"Sản phẩm giao đúng như ảnh, shop đóng gói có cho thêm túi khí để không bị hư giày. Mn nên mua nha
 ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
17,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,Huong T.Chứng nhận đã mua hàng,5.0,"Chất liệu:ok
 Kích cỡ:ok
 Màu sắc:ok
 Kiểu dáng:ok
 Sự thoải mái:ok ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
18,giày lolitagiày nữ mary da bóng đế 3p siêu mềm mẫu mới hottrend 2022,79.000 ₫,0***3Chứng nhận đã mua hàng,5.0,"Giày đa năng, phù hợp với nhiều dịp khác nhau., Đầu giày hình tròn mang lại sự thoải mái tối đa.,  ",https://www.lazada.vn/products/giay-lolitagiay-nu-mary-da-bong-de-3p-sieu-mem-mau-moi-hottrend-2022-i2031216764.html
