sentiment,reviews,type_product,aspect,normalized_text,tokenized_text
5,"Sách rất hay. Dựa trên nghiên cứu, và có hướng dẫn cách thực hiện cụ thể. Đọc rất lôi cuốn và thực tế. Một vài chi tiết mình thấy đã thực hành rất hiệu quả. Bạn nào muốn thay đổi thói quen bản thân mà chưa được, nên đọc ngay và luôn nhé Thu gọn",0,[2],"sách rất hay. dựa trên nghiên cứu, và có hướng dẫn cách thực hiện cụ thể. đọc rất lôi cuốn và thực tế. một vài chi tiết mình thấy đã thực hành rất hiệu quả. bạn nào muốn thay đổi thói quen bản thân mà chưa được, nên đọc ngay và luôn nhé","sách rất hay . dựa trên nghiên_cứu , và có hướng_dẫn cách thực_hiện cụ_thể . đọc rất lôi_cuốn và thực_tế . một_vài chi_tiết mình thấy đã thực_hành rất hiệu_quả . bạn nào muốn thay_đổi thói_quen bản_thân mà chưa được , nên đọc ngay và luôn nhé"
5,Nội dung sách quá hay Rất đơn giản và dễ áp dụng cuộc đời mỗi người được định hình bởi các thói quen Nên các bạn hãy đọc sách này để xây dựng những thói quen tốt cho cuộc đời mình Mình đã ghi chú rất nhiều và soạn riêng 1 slide để xem lại khi cần thiết sách phải đọc nha cả nhà Thu gọn,0,[2],nội dung sách quá hay rất đơn giản và dễ áp dụng cuộc đời mỗi người được định hình bởi các thói quen nên các bạn hãy đọc sách này để xây dựng những thói quen tốt cho cuộc đời mình mình đã ghi chú rất nhiều và soạn riêng 1 slide để xem lại khi cần thiết sách phải đọc nha cả nhà,nội_dung sách quá hay rất đơn_giản và dễ áp_dụng cuộc_đời mỗi người được định_hình bởi các thói_quen nên các bạn hãy đọc sách này để xây_dựng những thói_quen tốt cho cuộc_đời mình mình đã ghi_chú rất nhiều và soạn riêng 1 slide để xem_lại khi cần_thiết sách phải đọc nha cả nhà
5,"Quyển này hay mà tác giả viết rất dễ đọc nha người dịch dịch cũng rất thuần việt, chất lượng giấy cũng rất tốt , 10 điểm ! À sách có tóm tắt cuối chương nhé",0,[2],"quyển này hay mà tác giả viết rất dễ đọc nha người dịch dịch cũng rất thuần việt, chất lượng giấy cũng rất tốt , 10 điểm ! à sách có tóm tắt cuối chương nhé","quyển này hay mà tác_giả viết rất dễ đọc nha người dịch dịch cũng rất thuần việt , chất_lượng giấy cũng rất tốt , 10 điểm ! à sách có tóm_tắt cuối chương nhé"
5,"Dạo này thói quen xấu lại bủa vây nên tôi quyết định mua cuốn này, được cái tiki sale cũng ổn nên mua mấy cuốn nữa mà rẻ lắm, vì sách bọc trong giấy bóng mà lại ship cẩn thận nữa nên sách mới nguyên hình thức 100 Mới bão Yagi xong nên tôi rất lo sách bị làm sao nhưng mà ngoài sức mong đợi sách đã về đến tay chủ nhân an toàn, ôi cái mùi sách mới nói mãi không hết ngửi cả ngày không biết chán, tôi lại hứa sẽ đọc và giữ gìn sách cẩn thận, sẽ áp dụng những điều sách đã răn dạy để tôi có thêm kinh nghiệm có thêm niềm tin vào cuộc sống có biết bao chông gai khó nhọc này, để thói quen xấu bớt bủa vây tôi để tôi có thể sống tiếp những tháng ngày bình yên. Xin cảm ơn Thu gọn",0,"[2, 3, 4]","dạo này thói quen xấu lại bủa vây nên tôi quyết định mua cuốn này, được cái tiki sale cũng ổn nên mua mấy cuốn nữa mà rẻ lắm, vì sách bọc trong giấy bóng mà lại giao hàng cẩn thận nữa nên sách mới nguyên hình thức 100 mới bão yagi xong nên tôi rất lo sách bị làm sao nhưng mà ngoài sức mong đợi sách đã về đến tay chủ nhân an toàn, ôi cái mùi sách mới nói mãi không hết ngửi cả ngày không biết chán, tôi lại hứa sẽ đọc và giữ gìn sách cẩn thận, sẽ áp dụng những điều sách đã răn dạy để tôi có thêm kinh nghiệm có thêm niềm tin vào cuộc sống có biết bao chông gai khó nhọc này, để thói quen xấu bớt bủa vây tôi để tôi có thể sống tiếp những tháng ngày bình yên. xin cảm ơn","dạo này thói_quen xấu lại bủa_vây nên tôi quyết_định mua cuốn này , được cái tiki sale cũng ổn nên mua mấy cuốn nữa mà rẻ lắm , vì sách bọc trong giấy_bóng mà_lại giao hàng cẩn_thận nữa nên sách mới nguyên_hình_thức 100 mới bão yagi xong nên tôi rất lo sách bị làm_sao nhưng mà ngoài sức mong_đợi sách đã về đến tay chủ_nhân an_toàn , ôi cái mùi sách mới nói mãi không hết ngửi cả ngày không biết chán , tôi lại hứa sẽ đọc và giữ_gìn sách cẩn_thận , sẽ áp_dụng những điều sách đã răn_dạy để tôi có thêm kinh_nghiệm có thêm niềm tin vào cuộc_sống có biết_bao chông_gai khó_nhọc này , để thói_quen xấu bớt bủa_vây tôi để tôi có_thể sống tiếp những tháng_ngày bình_yên . xin cảm_ơn"
5,"Tiki giao thần tốc, mình đặt 1h sáng giao chiều cùng ngày, chất lượng sản phẩm thì khỏi phải bàn, giá cả có thể cao hơn các nền tảng khác một chút nhưng đổi lại dịch vụ tuyệt vời Cuốn này mình thấy nhiều người reviews hay nên mua, chưa đọc nên chưa đánh giá đc nội dung, hy vọng những kiến thức trong sách sẽ hữu ích với mình Thu gọn",0,"[1, 2, 3, 4]","tiki giao thần tốc, mình đặt 1h sáng giao chiều cùng ngày, chất lượng sản phẩm thì khỏi phải bàn, giá cả có thể cao hơn các nền tảng khác một chút nhưng đổi lại dịch vụ tuyệt vời cuốn này mình thấy nhiều người reviews hay nên mua, chưa đọc nên chưa đánh giá được nội dung, hy vọng những kiến thức trong sách sẽ hữu ích với mình","tiki giao thần_tốc , mình đặt 1h sáng giao chiều cùng ngày , chất_lượng sản_phẩm thì khỏi phải bàn , giá_cả có_thể cao hơn các nền_tảng khác một_chút nhưng đổi lại dịch_vụ tuyệt_vời cuốn này mình thấy nhiều người reviews hay nên mua , chưa đọc nên chưa đánh_giá được nội_dung , hy_vọng những kiến_thức trong sách sẽ hữu_ích với mình"
5,Một cuốn sách tuyệt vời. Nhưng thay đổi rất nhỏ nhưng qua thời gian lại tạo nên một chuyển biến vô cùng lớn. Giống như việc thay đổi hướng đi chỉ 1 độ nhưng đi càng dài thì lại càng xa con đường cũ. Hay...,0,"[2, 3]",một cuốn sách tuyệt vời. nhưng thay đổi rất nhỏ nhưng qua thời gian lại tạo nên một chuyển biến vô cùng lớn. giống như việc thay đổi hướng đi chỉ 1 độ nhưng đi càng dài thì lại càng xa con đường cũ. hay...,một cuốn sách tuyệt_vời . nhưng thay_đổi rất nhỏ nhưng qua thời_gian lại tạo nên một chuyển_biến vô_cùng lớn . giống như việc thay_đổi hướng đi chỉ 1 độ nhưng đi càng dài thì lại càng xa con đường cũ . hay ...
5,"Mình thấy quyển này rất bổ ích đối với những bạn đang muốn cải thiện lối sống của bản thân. Nội dung cũng cuốn nữa, các quy tắc thực hành để hình thành thói quen tốt cũng rất hiệu quả đối với mình. Không...",0,[2],"mình thấy quyển này rất bổ ích đối với những bạn đang muốn cải thiện lối sống của bản thân. nội dung cũng cuốn nữa, các quy tắc thực hành để hình thành thói quen tốt cũng rất hiệu quả đối với mình. không...","mình thấy quyển này rất bổ_ích đối_với những bạn đang muốn cải_thiện lối sống của bản_thân . nội_dung cũng cuốn nữa , các quy_tắc thực_hành để hình_thành thói_quen tốt cũng rất hiệu_quả đối_với mình . không ..."
5,Trước giờ đọc mấy cuốn sách self help mang tính chất đọc cho biết chứ thấy cũng ko có tác dụng lắm. Nhưng riêng cuốn này đối với mình rất có tác dụng nhé. Nếu những khi định trì hoãn thói quen thì lại...,0,[2],trước giờ đọc mấy cuốn sách self help mang tính chất đọc cho biết chứ thấy cũng không có tác dụng lắm. nhưng riêng cuốn này đối với mình rất có tác dụng nhé. nếu những khi định trì hoãn thói quen thì lại...,trước giờ đọc mấy cuốn sách self help mang tính_chất đọc cho biết chứ thấy cũng không có tác_dụng lắm . nhưng riêng cuốn này đối_với mình rất có tác_dụng nhé . nếu những khi định trì_hoãn thói_quen thì lại ...
5,Nội dung sách hay. Chưa lần nào mua tiki mà thất vọng cả. Sách mới mới cả hình thức và vừa mới xuất bản 7.2022. Giao nhanh siêu cấp thiên hà chưa đầy 12 tiếng. Shipper thân thiện,0,"[2, 4]",nội dung sách hay. chưa lần nào mua tiki mà thất vọng cả. sách mới mới cả hình thức và vừa mới xuất bản 7.2022. giao nhanh siêu cấp thiên hà chưa đầy 12 tiếng. người giao hàng thân thiện,nội_dung sách hay . chưa lần nào mua tiki mà thất_vọng cả . sách mới mới cả hình_thức và vừa_mới xuất_bản 7.2022 . giao nhanh siêu cấp thiên_hà chưa đầy 12 tiếng . người giao hàng thân_thiện
5,"Thói quen con người bắt người từ tín hiệu thèm muốn phần thưởng thoả mãn. Từ đó để duy trì thói quen tốt cần phải tăng phần thưởng và thoả mãn, làm cho nó dễ xảy ra, để hạn chế thói quen xấu cần...",0,[2],"thói quen con người bắt người từ tín hiệu thèm muốn phần thưởng thoả mãn. từ đó để duy trì thói quen tốt cần phải tăng phần thưởng và thoả mãn, làm cho nó dễ xảy ra, để hạn chế thói quen xấu cần...","thói_quen con_người bắt người từ tín_hiệu thèm_muốn phần_thưởng thoả_mãn . từ đó để duy_trì thói_quen tốt cần phải tăng phần_thưởng và thoả_mãn , làm cho nó dễ xảy ra , để hạn_chế thói_quen xấu cần ..."
