type,content,aspect,title,TH1_aspect,TH1_title,TH2_aspect,TH2_title,TH3_aspect,TH3_title
3,Tốt nha,quality,5,2,5.0,2,5.0,2,5.0
8,"Chất quần xấu, nilon thô bí",quality,1,2,2.0,2,1.0,2,1.0
25,"Dùng thích lắm mn ạ , ko hề có mùi , an toàn cho da tay nữa rửa xong tay vẫn mềm chứ k bị khô như các loại dầu rửa bát khác đâu ạ","ship, quality",5,2,5.0,2,5.0,2,5.0
10,"sản phẩm đẹp, chất liệu khá tốt đi vào cảm giác rất êm chân mà độ ôm và co giãn rất tốt","quality, price",5,2,5.0,2,5.0,2,5.0
5,"Nồi nhỏ gọn , áp suất nồi rất tốt , sp đúng chính hãng check đc bảo hành chính hãng . Giao hàng của TIKI rất nhanh,đồng kiểm dễ dàng . Chưa biết sử dụng nv cskh của Elmich hướng dẫn , trả lời thắc mắc rất nhiệt tình . Nên mua tại đây nha mn .TIKI trading và cskh Elmich Thu gọn","ship, quality, cskh",5,"1,24",5.0,"1,2,4",5.0,"1,24",5.0
19,"Giao hàng siêu nhanh, đặt 2h sáng, tới trưa giao, đóng gói kỹ, thị ngon, rất ưng.",ship,4,4,5.0,4,5.0,4,5.0
13,"(*) Đánh giá không tính điểm Giao hàng chậm, không đóng gói thêm bên ngoài. Lúc nhận hộp móp méo ko nguyên vẹn, không biết có bị va đập ảnh hưởng tới linh kiện không. tem dán ốc thì bị rách, làm sao bảo hành sau này? Thu gọn","ship, quality, price",3,"2,4",2.0,4,1.0,"2,4",1.0
11,Sản phẩm ok Đúng như giá tiền,"quality, price",1,"2,3",5.0,2,5.0,"2,3",5.0
9,"Giao hàng nhanh, đóng gói kỉ hàng nguyên vẹn",ship,5,4,5.0,4,5.0,4,5.0
9,"cửa hàng phân phối sản phẩm chính hãng, giao hàng, đóng gói cẩn thận, ok, tiếc là đặt xong đã hết hàng, hsd rõ ràng",ship,5,"2,4",5.0,"2,4",5.0,"2,4",5.0
7,"Không hiệu quả như loại ở các chỗ rửa xe hơi. Đã thử các vết dơ bụi đường, chà không sạch.",quality,3,2,2.0,2,1.0,2,1.0
15,"shop bán hàng tốt, giao nhanh","ship, quality",5,"2,4",5.0,"2,4",5.0,"2,4",5.0
11,Vải đẹp,quality,5,2,5.0,2,5.0,2,5.0
21,"Túi rất nhiều ngăn, chất liệu tốt, không thấm nước. Tuy nhiên túi không có độ co dãn nên không để đồ nhiều được (đậc biẹt là để quần áo)",quality,4,2,4.0,2,4.0,2,4.0
0,may quá sách mình không bị xấu,quality,5,2,4.0,2,5.0,2,5.0
0,"Mỗi lần mua sách là mình sẽ qua Tiki vì ở đây vừa rẻ mà lại còn chất lượng, giao hàng nhanh nữa nên mua nhé","ship, quality, price",5,"2,3,4",5.0,"2,3,4",5.0,"2,3,4",5.0
7,Dịch vụ tốt nhân viên nhiệt tình.thanks,"quality, cskh",5,1,5.0,"1,2",5.0,1,5.0
8,áo bị sủi dù mặc mới đc 3 lần,quality,1,2,2.0,2,1.0,2,1.0
16,Dùng được,quality,5,2,5.0,2,5.0,2,5.0
6,"thấm dầu không tốt lắm, nên dùng phim thấm dầu",quality,3,2,3.0,2,3.0,2,3.0
5,"Mẫu mã đẹp, chưa sử dụng, hy vọng chất lượng tốt, sẽ đánh giá thêm sau khi sử dụng","quality, price",5,2,4.0,2,5.0,2,5.0
15,"Hàng chính hãnh, chuẩn chỉnh. Đóng gói cẩn thận, giao nhạn.",ship,5,4,5.0,"2,4",5.0,4,5.0
18,"gọng đẹp, tròng kính ko đặc sắc.",quality,3,2,4.0,2,4.0,2,4.0
6,giấy mỏng. thấm dầu tốt n k thấm được nhiều. 1 lần thấm phải dùng 2 3 tờ mới hết mặt . tạm được,quality,4,2,5.0,2,3.0,2,3.0
11,"Sản phẩm tốt , màu đẹp",quality,5,2,5.0,2,5.0,2,5.0
9,Tôi rất hài lòng sản phẩm và dịch vụ bán hàng,cskh,5,"1,2",5.0,"1,2",5.0,"1,2",5.0
4,loa nghe hay dạ mang,quality,5,2,5.0,2,5.0,2,5.0
